xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	1.611	1.571	1.649	0.0111	+0.0014	-0.0014	+0.0011	-0.0011
	1.69	1.649	1.728	0.0125	+0.0015	-0.0015	+0.0011	-0.0011
	1.768	1.728	1.806	0.0193	+0.0019	-0.0019	+0.0015	-0.0015
	1.847	1.806	1.885	0.0224	+0.0021	-0.0021	+0.0016	-0.0016
	1.925	1.885	1.963	0.0311	+0.0024	-0.0024	+0.0019	-0.0019
	2.004	1.963	2.042	0.0428	+0.0029	-0.0029	+0.0023	-0.0023
	2.082	2.042	2.121	0.0665	+0.0036	-0.0036	+0.0032	-0.0032
	2.161	2.121	2.199	0.0841	+0.0041	-0.0041	+0.0036	-0.0036
	2.239	2.199	2.278	0.1111	+0.0048	-0.0048	+0.0042	-0.0042
	2.318	2.278	2.356	0.1565	+0.0057	-0.0057	+0.0054	-0.0054
	2.396	2.356	2.435	0.2133	+0.0066	-0.0066	+0.0069	-0.0069
	2.475	2.435	2.513	0.2903	+0.0078	-0.0078	+0.0088	-0.0088
	2.553	2.513	2.592	0.4062	+0.0092	-0.0092	+0.0118	-0.0119
	2.632	2.592	2.67	0.555	+0.011	-0.011	+0.016	-0.016
	2.711	2.67	2.749	0.752	+0.013	-0.013	+0.021	-0.021
	2.789	2.749	2.827	1.007	+0.015	-0.015	+0.028	-0.028
	2.868	2.827	2.906	1.362	+0.017	-0.017	+0.038	-0.038
	2.946	2.906	2.985	1.84	+0.02	-0.02	+0.053	-0.053
	3.025	2.985	3.063	2.541	+0.023	-0.023	+0.076	-0.076
	3.103	3.063	3.142	3.15	+0.026	-0.026	+0.1	-0.099
	1.611	1.571	1.649	0.00646	+6.5E-4	-6.5E-4	+7.0E-4	-7.2E-4
	1.69	1.649	1.728	0.00956	+8.1E-4	-8.1E-4	+9.3E-4	-9.4E-4
	1.768	1.728	1.806	0.01218	+9.2E-4	-9.2E-4	+0.00104	-0.00106
	1.847	1.806	1.885	0.0179	+0.0011	-0.0011	+0.0014	-0.0014
	1.925	1.885	1.963	0.0251	+0.0014	-0.0014	+0.0017	-0.0017
	2.004	1.963	2.042	0.0318	+0.0015	-0.0015	+0.0018	-0.0018
	2.082	2.042	2.121	0.0492	+0.0019	-0.0019	+0.0025	-0.0025
	2.161	2.121	2.199	0.0686	+0.0023	-0.0023	+0.003	-0.003
	2.239	2.199	2.278	0.0975	+0.0027	-0.0027	+0.0038	-0.0038
	2.318	2.278	2.356	0.1347	+0.0032	-0.0032	+0.0047	-0.0046
	2.396	2.356	2.435	0.186	+0.0038	-0.0038	+0.0059	-0.0058
	2.475	2.435	2.513	0.2561	+0.0045	-0.0045	+0.0075	-0.0074
	2.554	2.513	2.592	0.3579	+0.0053	-0.0053	+0.0099	-0.0098
	2.632	2.592	2.67	0.5013	+0.0063	-0.0063	+0.0133	-0.0132
	2.711	2.67	2.749	0.7017	+0.0075	-0.0075	+0.0182	-0.0182
	2.789	2.749	2.827	0.9562	+0.0087	-0.0087	+0.0246	-0.0246
	2.868	2.827	2.906	1.31	+0.01	-0.01	+0.034	-0.034
	2.946	2.906	2.985	1.845	+0.012	-0.012	+0.049	-0.049
	3.025	2.985	3.063	2.636	+0.014	-0.014	+0.073	-0.073
	3.104	3.063	3.142	3.485	+0.017	-0.017	+0.102	-0.102
	1.611	1.571	1.649	0.00441	+8.3E-4	-8.3E-4	+3.8E-4	-3.9E-4
	1.69	1.649	1.728	0.00515	+9.1E-4	-9.1E-4	+4.0E-4	-4.1E-4
	1.768	1.728	1.806	0.0069	+0.0011	-0.0011	+5.0E-4	-5.0E-4
	1.847	1.806	1.885	0.0121	+0.0014	-0.0014	+7.0E-4	-8.0E-4
	1.925	1.885	1.963	0.0158	+0.0016	-0.0016	+9.0E-4	-9.0E-4
	2.004	1.963	2.042	0.0261	+0.0021	-0.0021	+0.0013	-0.0013
	2.083	2.042	2.121	0.0362	+0.0025	-0.0025	+0.0016	-0.0016
	2.161	2.121	2.199	0.0558	+0.0032	-0.0032	+0.0022	-0.0023
	2.24	2.199	2.278	0.0763	+0.0037	-0.0037	+0.0026	-0.0028
	2.318	2.278	2.356	0.113	+0.0045	-0.0045	+0.0036	-0.0037
	2.397	2.356	2.435	0.1591	+0.0054	-0.0054	+0.0046	-0.0048
	2.475	2.435	2.513	0.2273	+0.0065	-0.0065	+0.0062	-0.0064
	2.554	2.513	2.592	0.3135	+0.0076	-0.0076	+0.0081	-0.0084
	2.632	2.592	2.67	0.4529	+0.0092	-0.0092	+0.0112	-0.0116
	2.711	2.67	2.749	0.634	+0.011	-0.011	+0.015	-0.016
	2.789	2.749	2.827	0.907	+0.013	-0.013	+0.022	-0.022
	2.868	2.827	2.906	1.251	+0.015	-0.015	+0.03	-0.03
	2.947	2.906	2.985	1.803	+0.018	-0.018	+0.044	-0.044
	3.025	2.985	3.063	2.703	+0.022	-0.022	+0.068	-0.069
	3.104	3.063	3.142	3.91	+0.027	-0.027	+0.103	-0.104
	1.698	1.571	1.806	0.00321	+9.3E-4	-9.3E-4	+2.5E-4	-2.7E-4
	1.89	1.806	1.963	0.0111	+0.0021	-0.0021	+7.0E-4	-7.0E-4
	2.047	1.963	2.121	0.0223	+0.0031	-0.0031	+0.001	-0.0011
	2.204	2.121	2.278	0.0508	+0.0047	-0.0047	+0.0019	-0.0019
	2.318	2.278	2.356	0.0969	+0.0092	-0.0092	+0.003	-0.0031
	2.397	2.356	2.435	0.127	+0.011	-0.011	+0.004	-0.004
	2.475	2.435	2.513	0.183	+0.013	-0.013	+0.005	-0.005
	2.554	2.513	2.592	0.257	+0.015	-0.015	+0.006	-0.006
	2.632	2.592	2.67	0.342	+0.017	-0.017	+0.008	-0.008
	2.711	2.67	2.749	0.591	+0.023	-0.023	+0.013	-0.013
	2.789	2.749	2.827	0.821	+0.027	-0.027	+0.018	-0.018
	2.868	2.827	2.906	1.177	+0.032	-0.032	+0.026	-0.025
	2.947	2.906	2.985	1.716	+0.039	-0.039	+0.038	-0.037
	3.025	2.985	3.063	2.698	+0.049	-0.049	+0.062	-0.06
	3.104	3.063	3.142	4.519	+0.063	-0.063	+0.108	-0.106
	1.797	1.571	1.963	0.0031	+0.0018	-0.0018	+2.0E-4	-2.0E-4
	2.143	1.963	2.278	0.0189	+0.005	-0.005	+8.0E-4	-8.0E-4
	2.361	2.278	2.435	0.061	+0.013	-0.013	+0.002	-0.002
	2.518	2.435	2.592	0.16	+0.021	-0.021	+0.004	-0.005
	2.675	2.592	2.749	0.411	+0.034	-0.034	+0.01	-0.01
	2.79	2.749	2.827	0.721	+0.064	-0.064	+0.016	-0.017
	2.868	2.827	2.906	0.979	+0.074	-0.074	+0.021	-0.022
	2.947	2.906	2.985	1.615	+0.095	-0.095	+0.035	-0.035
	3.026	2.985	3.063	2.76	+0.12	-0.12	+0.06	-0.06
	3.104	3.063	3.142	5.28	+0.17	-0.17	+0.12	-0.12

